Price,Area,Location,bhk,Lift,Parking,price_per_sqft,location_n
6200000,400,Airoli,1,1,1,15500.0,0
9500000,1000,Airoli,2,1,1,9500.0,0
14900000,1245,Airoli,2,1,1,11967.871485943775,0
14000000,1183,Airoli,2,1,1,11834.31952662722,0
14800000,1245,Airoli,2,1,1,11887.550200803213,0
6400000,495,Airoli,1,0,0,12929.29292929293,0
11100000,1050,Airoli,2,1,0,10571.42857142857,0
7500000,600,Airoli,1,1,0,12500.0,0
7500000,600,Airoli,1,1,0,12500.0,0
7600000,650,Airoli,1,0,0,11692.307692307691,0
6500000,650,Airoli,1,1,0,10000.0,0
9500000,780,Airoli,1,1,0,12179.48717948718,0
6600000,640,Airoli,1,1,0,10312.5,0
7800000,660,Airoli,1,0,0,11818.181818181818,0
7800000,660,Airoli,1,1,0,11818.181818181818,0
5900000,666,Airoli,1,0,0,8858.85885885886,0
7000000,700,Airoli,1,1,0,10000.0,0
7000000,680,Airoli,1,0,0,10294.117647058823,0
14000000,1245,Airoli,2,1,0,11244.979919678715,0
6100000,650,Airoli,1,0,0,9384.615384615385,0
7500000,675,Airoli,1,1,0,11111.111111111111,0
7000000,600,Airoli,1,0,0,11666.666666666666,0
8400000,952,Airoli,2,1,0,8823.529411764706,0
8400000,660,Airoli,1,0,0,12727.272727272728,0
7300000,600,Airoli,1,1,0,12166.666666666666,0
75000000,1600,Almeida Park,3,1,1,46875.0,1
2548000,675,Ambarnath,1,1,1,3774.814814814815,2
2492000,660,Ambarnath,1,1,1,3775.757575757576,2
2418000,640,Ambarnath,1,1,1,3778.125,2
3874000,730,Ambernath East,1,1,1,5306.8493150684935,3
2225000,595,Ambernath East,1,1,1,3739.4957983193276,3
3999000,994,Ambernath East,2,1,0,4023.1388329979877,3
3954999,993,Ambernath East,2,1,0,3982.87915407855,3
3415000,925,Ambernath East,2,1,0,3691.891891891892,3
3410000,918,Ambernath East,2,1,0,3714.5969498910677,3
2300000,650,Ambernath East,1,1,0,3538.4615384615386,3
4200000,1010,Ambernath East,2,1,0,4158.415841584158,3
2800000,690,Ambernath East,1,1,0,4057.9710144927535,3
3650000,725,Ambernath East,1,1,1,5034.482758620689,3
3100000,827,Ambernath East,1,1,1,3748.488512696493,3
2374000,634,Ambernath West,1,1,1,3744.4794952681386,4
3600000,910,Ambernath West,2,1,0,3956.043956043956,4
2836000,709,Ambernath West,1,1,0,4000.0,4
3188000,797,Ambernath West,1,1,0,4000.0,4
2520000,630,Ambernath West,1,1,0,4000.0,4
2576000,644,Ambernath West,1,1,0,4000.0,4
2836000,709,Ambernath West,1,1,0,4000.0,4
2520000,630,Ambernath West,1,0,0,4000.0,4
2576000,644,Ambernath West,1,0,0,4000.0,4
3064000,766,Ambernath West,1,1,0,4000.0,4
3188000,797,Ambernath West,1,1,0,4000.0,4
18000000,1100,Andheri,2,1,1,16363.636363636364,5
14000000,1000,Andheri,2,1,1,14000.0,5
30000000,1480,Andheri,3,1,1,20270.27027027027,5
17500000,650,Andheri,1,1,1,26923.076923076922,5
65300000,3025,Andheri,4,1,1,21586.77685950413,5
24000000,1000,Andheri,2,0,1,24000.0,5
29400000,1450,Andheri,3,1,1,20275.862068965518,5
22200000,900,Andheri,3,1,1,24666.666666666668,5
15300000,1040,Andheri,2,1,1,14711.538461538461,5
17000000,1114,Andheri East,3,1,1,15260.32315978456,6
20000000,1260,Andheri East,2,1,1,15873.015873015873,6
33400000,2016,Andheri East,3,1,1,16567.460317460318,6
11100000,655,Andheri East,2,0,1,16946.564885496184,6
16800000,922,Andheri East,2,1,1,18221.25813449024,6
17500000,1050,Andheri East,1,1,1,16666.666666666668,6
16500000,1020,Andheri East,1,1,1,16176.470588235294,6
14800000,915,Andheri East,2,1,1,16174.863387978143,6
15000000,915,Andheri East,2,1,1,16393.44262295082,6
18000000,1020,Andheri East,2,1,1,17647.058823529413,6
14000000,650,Andheri East,2,0,1,21538.46153846154,6
11000000,620,Andheri East,1,1,1,17741.935483870966,6
15000000,950,Andheri East,2,1,1,15789.473684210527,6
31500000,1356,Andheri East,3,1,1,23230.088495575223,6
